lonlat,date,lon,lat,sif,sif_sigma,year,doy,month,dayssinceapril1,group
x-122.7y39.1,2018-04-01,-122.699996948242,39.1000022888184,0.503497004508972,0.360754013061523,2018,91,4,0,burned
x-122.7y39.1,2018-04-09,-122.699996948242,39.1000022888184,0.778958022594452,0.382858991622925,2018,99,4,8,burned
x-122.7y39.1,2018-04-17,-122.699996948242,39.1000022888184,0.622264981269836,0.382914006710053,2018,107,4,16,burned
x-122.7y39.1,2018-04-25,-122.699996948242,39.1000022888184,0.639123976230621,0.390872001647949,2018,115,4,24,burned
x-122.7y39.1,2018-05-03,-122.699996948242,39.1000022888184,0.846535980701447,0.377777010202408,2018,123,5,32,burned
x-122.7y39.1,2018-05-11,-122.699996948242,39.1000022888184,0.604673981666565,0.418716013431549,2018,131,5,40,burned
x-122.7y39.1,2018-05-19,-122.699996948242,39.1000022888184,0.76673299074173,0.402359992265701,2018,139,5,48,burned
x-122.7y39.1,2018-05-27,-122.699996948242,39.1000022888184,0.931765973567963,0.388404995203018,2018,147,5,56,burned
x-122.7y39.1,2018-06-04,-122.699996948242,39.1000022888184,0.969301998615265,0.390363991260529,2018,155,6,64,burned
x-122.7y39.1,2018-06-12,-122.699996948242,39.1000022888184,0.896340012550354,0.389425992965698,2018,163,6,72,burned
x-122.7y39.1,2018-06-20,-122.699996948242,39.1000022888184,0.83213198184967,0.39020100235939,2018,171,6,80,burned
x-122.7y39.1,2018-06-28,-122.699996948242,39.1000022888184,0.81531697511673,0.389802008867264,2018,179,6,88,burned
x-122.7y39.1,2018-07-06,-122.699996948242,39.1000022888184,0.770171999931335,0.388539999723434,2018,187,7,96,burned
x-122.7y39.1,2018-07-14,-122.699996948242,39.1000022888184,0.412593990564346,0.387860000133514,2018,195,7,104,burned
x-122.7y39.1,2018-07-22,-122.699996948242,39.1000022888184,0.170918002724648,0.38502699136734,2018,203,7,112,burned
x-122.7y39.1,2018-07-30,-122.699996948242,39.1000022888184,0.142171993851662,0.383641988039017,2018,211,7,120,burned
x-122.7y39.1,2018-08-07,-122.699996948242,39.1000022888184,-0.0805104002356529,0.334560006856918,2018,219,8,128,burned
x-122.7y39.1,2018-08-15,-122.699996948242,39.1000022888184,-0.295074999332428,0.320450007915497,2018,227,8,136,burned
x-122.7y39.1,2018-08-23,-122.699996948242,39.1000022888184,-0.084818996489048,0.310324996709824,2018,235,8,144,burned
x-122.7y39.1,2018-08-31,-122.699996948242,39.1000022888184,-0.0675934031605721,0.30961599946022,2018,243,8,152,burned
x-122.7y39.1,2018-09-08,-122.699996948242,39.1000022888184,0.165766999125481,0.306553989648819,2018,251,9,160,burned
x-122.7y39.1,2018-09-16,-122.699996948242,39.1000022888184,0.0498597994446755,0.289418995380402,2018,259,9,168,burned
x-122.7y39.1,2018-09-24,-122.699996948242,39.1000022888184,-0.0259668994694948,0.298004001379013,2018,267,9,176,burned
x-122.7y39.1,2018-10-02,-122.699996948242,39.1000022888184,-0.050578098744154,0.327158987522125,2018,275,10,184,burned
x-122.7y39.1,2018-10-10,-122.699996948242,39.1000022888184,0.0550662986934185,0.265096992254257,2018,283,10,192,burned
x-122.7y39.1,2018-10-18,-122.699996948242,39.1000022888184,-0.195017993450165,0.265832006931305,2018,291,10,200,burned
x-122.7y39.1,2018-10-26,-122.699996948242,39.1000022888184,0.0672250017523766,0.270947009325027,2018,299,10,208,burned
x-122.7y39.1,2018-11-03,-122.699996948242,39.1000022888184,0.0303747002035379,0.270085006952286,2018,307,11,216,burned
x-122.7y39.1,2018-11-11,-122.699996948242,39.1000022888184,0.0222079008817673,0.279112011194229,2018,315,11,224,burned
x-122.7y39.1,2018-11-19,-122.699996948242,39.1000022888184,0.145867004990578,0.256469011306763,2018,323,11,232,burned
x-122.7y39.1,2018-11-27,-122.699996948242,39.1000022888184,-0.0622167997062206,0.277254998683929,2018,331,11,240,burned
x-122.7y39.1,2018-12-05,-122.699996948242,39.1000022888184,-0.00784244015812874,0.244568005204201,2018,339,12,248,burned
x-122.7y39.1,2018-12-13,-122.699996948242,39.1000022888184,-0.205890998244286,0.307913988828659,2018,347,12,256,burned
x-122.7y39.1,2018-12-21,-122.699996948242,39.1000022888184,-0.0314780995249748,0.244374006986618,2018,355,12,264,burned
x-122.7y39.1,2018-12-29,-122.699996948242,39.1000022888184,0.0849749967455864,0.242547005414963,2018,363,12,272,burned
x-122.7y39.1,2019-01-06,-122.699996948242,39.1000022888184,0.0975193008780479,0.317077994346619,2019,6,1,280,burned
x-122.7y39.1,2019-01-14,-122.699996948242,39.1000022888184,0.0667221024632454,0.278016000986099,2019,14,1,288,burned
x-122.7y39.1,2019-01-22,-122.699996948242,39.1000022888184,-0.065466396510601,0.2447320073843,2019,22,1,296,burned
x-122.7y39.1,2019-01-30,-122.699996948242,39.1000022888184,-0.091930203139782,0.335548996925354,2019,30,1,304,burned
x-122.7y39.1,2019-02-07,-122.699996948242,39.1000022888184,0.0406562983989716,0.483669996261597,2019,38,2,312,burned
